symbol,pass_report_days,next_report_days,next_report_date,current_price,market_cap,hv10,hv10_rank,phv10,phv10_rank,ivcall10,ivcall10_rank,ivmean10,ivmean10_rank,ivput10,ivput10_rank,hv180,hv180_rank,phv180,phv180_rank,ivcall1080,ivcall1080_rank,ivmean1080,ivmean1080_rank,ivput1080,ivput1080_rank,max_expiry,min_days,max_days
A,107.0,,,118.91000366210938,,0.2488,54.0,0.2084,45.0,0.2611,40.0,0.2653,42.0,0.2695,43.0,0.3398,76.0,0.298,79.0,0.3074,62.0,0.3085,57.0,0.3096,53.0,20270115.0,35.0,609.0
AA,142.0,,,28.86000061035156,,0.1653,8.0,0.303,47.0,0.4612,68.0,0.4614,68.0,0.4616,68.0,0.5486,79.0,0.4786,84.0,0.4616,74.0,0.4839,75.0,0.5062,77.0,20270115.0,7.0,609.0
AAAU,,,,33.46500015258789,,0.1336,,0.0976,,0.1658,,0.2343,,0.3028,,0.1958,,0.1013,,0.1911,,0.198,,0.2048,,20251219.0,35.0,217.0
AACT,,,,11.3100004196167,,0.032,,0.0622,,,,,,,,0.032,,0.0336,,,,,,,,,,
AAL,141.0,,,10.899999618530272,,0.53,80.0,0.3753,69.0,0.4441,70.0,0.4462,70.0,0.4484,71.0,0.5895,88.0,0.4665,83.0,0.4981,80.0,0.4978,80.0,0.4974,78.0,20271217.0,7.0,945.0
AAMI,127.0,,,31.739999771118164,,0.1183,,0.2547,,0.2849,,0.4353,,0.5857,,0.0,,0.0,,0.2849,,0.3288,,0.3726,,20260116.0,35.0,245.0
AAOI,107.0,,,16.920000076293945,,0.5114,39.0,0.8646,85.0,0.9501,76.0,0.9554,76.0,0.9608,76.0,1.3415,95.0,1.1253,96.0,1.0165,90.0,1.0072,89.0,0.998,86.0,20270115.0,7.0,609.0
AAON,106.0,,,74.1500015258789,,1.0441,100.0,0.7739,100.0,0.4666,88.0,0.3587,56.0,0.2508,6.0,0.6765,99.0,0.4948,97.0,0.4777,99.0,0.4753,99.0,0.4729,98.0,20260116.0,35.0,245.0
AAP,107.0,,,50.810001373291016,,0.2855,63.0,0.2879,71.0,0.4292,83.0,0.4292,83.0,0.4293,82.0,0.8638,100.0,0.5305,98.0,0.5306,96.0,0.5316,96.0,0.5326,95.0,20270115.0,7.0,609.0
AAPB,,,,19.1299991607666,,0.3913,,0.4049,,0.4919,,0.5354,,0.579,,0.7949,,0.6001,,0.4947,,0.5564,,0.618,,20260116.0,35.0,245.0
AAPD,,,,18.13999938964844,,0.188,,0.21,,,,,,0.2824,,0.4123,,0.3146,,,,,,0.3503,,20260116.0,35.0,245.0
AAPL,134.0,,,199.1999969482422,,0.1936,31.0,0.2136,47.0,0.2489,37.0,0.248,37.0,0.2472,37.0,0.4026,83.0,0.3163,73.0,0.2861,33.0,0.3049,39.0,0.3237,48.0,20271217.0,7.0,945.0
