symbol,pass_report_days,next_report_days,next_report_date,current_price,market_cap,hv10,hv10_rank,phv10,phv10_rank,ivcall10,ivcall10_rank,ivput10,ivput10_rank,hv180,hv180_rank,phv180,phv180_rank,ivcall1080,ivcall1080_rank,ivput1080,ivput1080_rank
A,31.0,,,116.69000244140625,33268670699.572266,0.1678,25.0,0.2219,52.0,0.3057,57.0,0.3361,67.0,0.2519,37.0,0.2421,59.0,0.3108,63.0,0.2951,40.0
AA,66.0,,,30.65999984741211,7937413815.217285,0.2816,35.0,0.3449,57.0,0.5536,84.0,0.5357,81.0,0.4438,60.0,0.3724,64.0,0.431,67.0,0.4556,69.0
AAL,65.0,,,10.699999809265137,7036063074.577332,0.4277,66.0,0.3374,57.0,0.53,81.0,0.5199,81.0,0.4739,78.0,0.3706,66.0,0.4716,76.0,0.4916,78.0
AAMI,51.0,,,25.860000610351562,969537970.8831787,0.3391,,0.2715,,0.2828,,,,0.3193,,0.3015,,0.2828,,,
AAOI,31.0,,,16.3799991607666,823091681.8286896,1.0683,85.0,0.831,83.0,1.0454,83.0,1.0699,84.0,1.3976,96.0,1.0975,96.0,0.9666,87.0,1.0596,92.0
AAON,30.0,,,78.08000183105469,6371117021.089111,0.447,88.0,0.3499,78.0,0.4877,90.0,0.4091,78.0,0.6287,97.0,0.4149,96.0,0.4929,100.0,0.4887,99.0
AAP,31.0,,,38.95000076293945,2330499290.6490326,0.5509,94.0,0.5006,97.0,0.5037,92.0,0.5499,94.0,0.5489,94.0,0.4699,96.0,0.5538,98.0,0.5472,96.0
AAPB,,,,24.6299991607666,,0.5386,77.0,0.4247,86.0,0.7015,93.0,0.4272,22.0,0.4827,77.0,0.3875,87.0,0.5656,89.0,0.4948,50.0
AAPD,,,,17.3799991607666,,0.2742,73.0,0.2214,75.0,0.2509,,0.4361,,0.2408,68.0,0.1978,73.0,0.2002,,0.3304,
AAPL,58.0,,,217.89999389648438,3273315602904.375,0.2611,53.0,0.2257,51.0,0.2773,47.0,0.2816,49.0,0.2402,27.0,0.2088,36.0,0.2582,25.0,0.2995,38.0
AAPU,,,,27.030000686645508,,0.5247,82.0,0.4453,86.0,0.5415,76.0,0.5202,63.0,0.5034,93.0,0.4042,87.0,0.4614,77.0,0.5599,83.0
AAT,53.0,,,20.040000915527344,1549488862.788391,0.1582,32.0,0.1828,37.0,0.4961,88.0,0.3958,79.0,0.2585,66.0,0.23,62.0,0.4961,97.0,0.3958,86.0
AAXJ,,,,74.18000030517578,,0.1424,41.0,0.0721,25.0,0.1767,53.0,0.1751,42.0,0.1825,54.0,0.0957,44.0,0.1705,44.0,0.18,13.0
AB,51.0,,,38.369998931884766,4241035981.941223,0.0432,1.0,0.066,1.0,0.1968,15.0,0.362,68.0,0.305,61.0,0.2583,38.0,0.1968,28.0,0.3411,59.0
ABAT,135.0,,,1.0299999713897705,87197737.57791519,1.443,93.0,1.054,87.0,0.9393,,0.9391,,1.4157,90.0,1.3148,100.0,0.9843,,0.9391,
ABBV,57.0,,,205.2899932861328,363153885754.02344,0.2599,72.0,0.2506,78.0,0.2474,68.0,0.2538,66.0,0.2934,76.0,0.2099,46.0,0.2603,78.0,0.2603,16.0
