symbol,pass_report_days,next_report_days,next_report_date,current_price,market_cap,hv10,hv10_rank,phv10,phv10_rank,ivcall10,ivcall10_rank,ivmean10,ivmean10_rank,ivput10,ivput10_rank,hv180,hv180_rank,phv180,phv180_rank,ivcall1080,ivcall1080_rank,ivmean1080,ivmean1080_rank,ivput1080,ivput1080_rank,max_expiry,min_days,max_days
A,106.0,,,119.72000122070312,,0.2297,48.0,0.2287,56.0,0.2837,50.0,0.2779,47.0,0.2721,44.0,0.3398,76.0,0.2981,79.0,0.3158,65.0,0.3117,59.0,0.3076,52.0,20270115.0,35.0,609.0
AA,141.0,,,28.739999771118164,,0.2562,28.0,0.3825,68.0,0.4779,71.0,0.4727,70.0,0.4675,69.0,0.5509,80.0,0.4785,84.0,0.4637,74.0,0.4833,75.0,0.5029,77.0,20270115.0,7.0,609.0
AAAU,,,,33.060001373291016,,0.1225,,0.0999,,0.1532,,0.1706,,0.188,,0.1955,,0.1015,,0.1843,,0.1925,,0.2007,,20251219.0,35.0,217.0
AACT,,,,11.31999969482422,,0.0305,,0.0575,,,,,,,,0.032,,0.0328,,,,,,,,,,
AAL,140.0,,,11.0600004196167,,0.5341,81.0,0.377,69.0,0.4629,73.0,0.4613,73.0,0.4597,72.0,0.5895,88.0,0.4662,83.0,0.4906,79.0,0.496,80.0,0.5015,78.0,20271217.0,7.0,945.0
AAMI,126.0,,,31.549999237060547,,0.1601,,0.2394,,0.2851,,0.4236,,0.5622,,0.0,,0.0,,0.2851,,0.3251,,0.3651,,20260116.0,35.0,245.0
AAOI,106.0,,,16.31999969482422,,0.665,59.0,0.7208,71.0,0.8514,70.0,0.8718,72.0,0.8923,73.0,1.3406,95.0,1.1191,96.0,1.0656,95.0,1.0423,91.0,1.0189,89.0,20270115.0,7.0,609.0
AAON,105.0,,,75.8499984741211,,1.0892,100.0,0.771,100.0,0.4039,78.0,0.4259,80.0,0.4479,86.0,0.6772,99.0,0.495,97.0,0.4632,98.0,0.468,99.0,0.4729,98.0,20260116.0,35.0,245.0
AAP,106.0,,,51.52000045776367,,0.3879,83.0,0.3353,82.0,0.4459,86.0,0.4458,85.0,0.4457,85.0,0.8649,100.0,0.5317,98.0,0.5338,97.0,0.5292,95.0,0.5245,94.0,20270115.0,7.0,609.0
AAPB,,,,19.07999992370605,,0.4137,,0.4086,,0.6739,,0.556,,0.4381,,0.7949,,0.6006,,0.5317,,0.5728,,0.6138,,20260116.0,35.0,245.0
