symbol,pass_report_days,next_report_days,next_report_date,current_price,market_cap,hv10,hv10_rank,phv10,phv10_rank,ivcall10,ivcall10_rank,ivmean10,ivmean10_rank,ivput10,ivput10_rank,hv180,hv180_rank,phv180,phv180_rank,ivcall1080,ivcall1080_rank,ivmean1080,ivmean1080_rank,ivput1080,ivput1080_rank,max_expiry,min_days,max_days
A,87.0,,,108.52999877929688,,0.2871,64.0,0.2289,56.0,0.4022,82.0,0.4111,83.0,0.42,84.0,0.3373,75.0,0.3036,80.0,0.3261,70.0,0.328,67.0,0.33,63.0,20270115.0,35.0,609.0
AA,122.0,,,28.06999969482422,,0.3018,40.0,0.3877,69.0,0.4703,70.0,0.4772,71.0,0.484,73.0,0.5626,82.0,0.4805,84.0,0.5004,81.0,0.5072,80.0,0.5139,79.0,20270115.0,7.0,609.0
AAAU,,,,33.19499969482422,,0.2101,,0.1075,,0.1902,,0.221,,0.2518,,0.1962,,0.0998,,0.1913,,0.2035,,0.2156,,20251219.0,35.0,217.0
AAL,121.0,,,11.1899995803833,,0.2758,28.0,0.3023,44.0,0.4416,69.0,0.4454,70.0,0.4493,71.0,0.6232,91.0,0.4715,84.0,0.4909,79.0,0.4964,80.0,0.5018,79.0,20271217.0,7.0,945.0
AAMI,107.0,,,29.229999542236328,,0.1195,,0.154,,0.3459,,0.3953,,0.4447,,0.0,,0.0,,0.2868,,0.3658,,0.4447,,20260116.0,35.0,245.0
AAOI,87.0,,,17.8799991607666,,0.7161,64.0,0.8033,79.0,0.8829,72.0,0.8898,73.0,0.8967,73.0,1.4052,96.0,1.1594,97.0,0.9865,88.0,0.9929,88.0,0.9993,86.0,20270115.0,7.0,609.0
AAON,86.0,,,99.0999984741211,,0.307,63.0,0.2744,48.0,0.4103,79.0,0.4108,77.0,0.4114,78.0,0.6333,97.0,0.4682,97.0,0.4829,99.0,0.4778,99.0,0.4728,98.0,20260116.0,35.0,245.0
AAP,87.0,,,48.66999816894531,,2.8408,100.0,0.7969,100.0,0.5637,95.0,0.5843,96.0,0.605,96.0,0.866,100.0,0.5272,98.0,0.5677,98.0,0.5606,98.0,0.5536,96.0,20270115.0,7.0,609.0
AAPB,,,,18.5,,0.3692,,0.381,,0.7078,,0.6716,,0.6353,,0.792,,0.5929,,0.4866,,0.6386,,0.7906,,20260116.0,35.0,245.0
AAPD,,,,18.479999542236328,,0.1698,,0.1852,,0.3639,,0.3749,,0.3859,,0.411,,0.3109,,0.2482,,0.3164,,0.3845,,20260116.0,35.0,245.0
AAPL,114.0,,,195.27000427246097,,0.1764,26.0,0.1979,41.0,0.318,59.0,0.3177,57.0,0.3174,57.0,0.4011,83.0,0.3127,71.0,0.2955,36.0,0.3136,42.0,0.3316,51.0,20271217.0,7.0,945.0
AAPU,,,,20.239999771118164,,0.361,,0.3968,,0.6573,,0.6468,,0.6363,,0.79,,0.6091,,0.4632,,0.5639,,0.6647,,20260116.0,35.0,245.0
AAPW,,,,35.20000076293945,,0.1584,,0.1879,,,,,,0.6579,,0.0,,0.0,,,,,,0.7342,,20251219.0,35.0,217.0
AAPX,,,,17.424999237060547,,0.4098,,0.3412,,0.6924,,0.5731,,0.4537,,0.8257,,0.5864,,0.4394,,0.8676,,1.2958,,20251219.0,35.0,217.0
AAPY,,,,20.643600463867188,,0.1954,,0.1075,,0.1403,,0.2638,,0.3872,,0.3452,,0.1977,,0.1403,,0.2648,,0.3893,,20260116.0,35.0,245.0
AAT,109.0,,,19.049999237060547,,0.2562,69.0,0.1812,36.0,0.4704,86.0,0.4414,85.0,0.4125,81.0,0.2995,79.0,0.2764,82.0,0.4704,96.0,0.4414,95.0,0.4125,88.0,20260116.0,35.0,245.0
AAXJ,,,,78.61000061035156,,0.0361,1.0,0.0692,21.0,0.1381,20.0,0.163,34.0,0.1879,54.0,0.2235,81.0,0.1338,88.0,0.1673,41.0,0.1804,32.0,0.1934,27.0,20251219.0,35.0,217.0
AB,107.0,,,39.13999938964844,,0.244,48.0,0.2431,44.0,0.2598,45.0,0.2595,33.0,0.2592,28.0,0.3526,76.0,0.3056,65.0,0.2252,41.0,0.2799,50.0,0.3346,56.0,20260116.0,35.0,245.0
ABAT,191.0,,,1.3200000524520874,,0.6903,61.0,1.0291,85.0,1.15,,1.1204,,1.0907,,1.5085,91.0,1.4095,100.0,1.0247,,1.0577,,1.0907,,20251219.0,35.0,217.0
ABBV,113.0,,,183.2599945068359,,0.2036,55.0,0.1851,43.0,0.2685,78.0,0.2664,76.0,0.2644,70.0,0.2929,76.0,0.2838,86.0,0.223,51.0,0.2808,81.0,0.3386,82.0,20270115.0,7.0,609.0
ABCB,114.0,,,61.220001220703125,,0.1265,10.0,0.1587,5.0,0.2813,35.0,0.3224,47.0,0.3634,66.0,0.3366,74.0,0.2864,57.0,0.2747,38.0,0.2967,43.0,0.3187,55.0,20260116.0,35.0,245.0
ABCL,86.0,,,1.9700000286102293,,0.4025,19.0,0.4457,18.0,0.9217,80.0,,,,,0.703,72.0,0.669,76.0,2.7723,100.0,,,,,20260116.0,35.0,245.0
ABEO,65.0,,,6.420000076293945,,0.4957,27.0,0.792,59.0,0.9506,42.0,1.0154,44.0,1.0801,52.0,0.6358,16.0,0.6622,12.0,0.9132,45.0,0.9928,49.0,1.0724,61.0,20251219.0,35.0,217.0
ABEV,87.0,,,2.5199999809265137,,0.0918,1.0,0.2085,34.0,0.2528,18.0,0.2452,13.0,0.2376,1.0,0.3262,60.0,0.2708,64.0,0.2194,12.0,0.3158,32.0,0.4122,48.0,20270115.0,35.0,609.0
ABFL,,,,67.689697265625,,0.1656,,0.0875,,0.1701,,0.1866,,0.2032,,0.0,,0.0,,0.1721,,0.1931,,0.2142,,20251219.0,35.0,217.0
ABG,114.0,,,225.19000244140625,,0.1743,11.0,0.1937,7.0,0.3719,53.0,0.3694,51.0,0.3668,51.0,0.3912,57.0,0.3595,59.0,0.3839,56.0,0.3857,56.0,0.3874,56.0,20260116.0,35.0,245.0
ABL,198.0,,,8.170000076293945,,0.2606,,0.3879,,,,,,0.5077,,0.467,,0.5082,,,,,,0.542,,20270115.0,35.0,609.0
ABM,73.0,,,51.04999923706055,,0.1716,30.0,0.144,10.0,0.4007,78.0,0.4055,80.0,0.4104,78.0,0.3297,69.0,0.303,73.0,0.2912,57.0,0.3131,59.0,0.335,66.0,20260116.0,35.0,245.0
ABNB,100.0,,,126.72000122070312,,0.2659,23.0,0.1996,6.0,0.3222,22.0,0.3239,22.0,0.3257,22.0,0.4632,59.0,0.3529,53.0,0.3948,23.0,0.4054,21.0,0.4159,20.0,20270115.0,7.0,609.0
ABNY,,,,11.880000114440918,,0.2558,,0.1808,,0.2362,,0.5238,,0.8115,,0.3747,,0.2549,,0.2362,,0.5238,,0.8115,,20260116.0,35.0,245.0
ABOS,193.0,,,1.0199999809265137,,0.4419,,0.6155,,,,,,,,0.715,,0.7955,,,,,,,,20260116.0,35.0,245.0
ABR,92.0,,,9.479999542236328,,0.7528,98.0,0.5811,97.0,0.3638,73.0,0.3697,65.0,0.3755,64.0,0.4099,86.0,0.3954,94.0,0.2198,62.0,0.4356,78.0,0.6514,87.0,20270115.0,7.0,609.0
ABSI,67.0,,,2.6600000858306885,,0.3401,,0.524,,1.0577,,1.0235,,0.9893,,1.0817,,1.0184,,1.1986,,1.1118,,1.025,,20251121.0,35.0,189.0
ABT,122.0,,,131.3000030517578,,0.2769,83.0,0.1847,62.0,0.1933,52.0,0.2078,60.0,0.2224,66.0,0.225,70.0,0.2218,81.0,0.2217,57.0,0.2476,69.0,0.2735,77.0,20270115.0,7.0,609.0
ABUS,199.0,,,3.220000028610229,,0.2573,10.0,0.4221,19.0,1.8968,96.0,,,,,0.4704,26.0,0.4943,20.0,3.0078,99.0,,,,,20270115.0,35.0,609.0
ACA,86.0,,,84.68000030517578,,0.1624,8.0,0.1774,4.0,0.2635,11.0,0.2749,11.0,0.2862,16.0,0.3773,65.0,0.3261,57.0,0.3393,42.0,0.3408,39.0,0.3423,41.0,20251219.0,35.0,217.0
ACAD,87.0,,,21.979999542236328,,1.4204,96.0,1.1994,96.0,0.4965,18.0,0.5075,19.0,0.5186,22.0,0.5757,32.0,0.5166,43.0,0.4785,10.0,0.5326,19.0,0.5866,32.0,20251219.0,35.0,217.0
ACB,108.0,,,5.5,,0.567,38.0,0.5743,36.0,0.8786,44.0,0.9066,42.0,0.9347,44.0,0.797,42.0,0.6365,38.0,0.7472,36.0,0.7481,16.0,0.749,8.0,20270115.0,35.0,609.0
ACCO,93.0,,,3.4600000381469727,,0.3911,73.0,0.2823,44.0,,,,,,,0.4952,90.0,0.3909,84.0,,,,,,,20251219.0,35.0,217.0
ACDC,79.0,,,6.480000019073486,,0.4114,,0.7643,,0.6639,,0.7764,,0.8889,,0.9699,,0.8384,,0.6587,,0.8021,,0.9456,,20251121.0,35.0,189.0
ACEL,206.0,,,11.220000267028809,,0.1493,6.0,0.141,1.0,0.4177,30.0,,,,,0.3342,28.0,0.3114,38.0,0.3693,21.0,,,,,20260116.0,35.0,245.0
ACES,,,,24.51000022888184,,0.3297,51.0,0.1835,9.0,0.3384,35.0,0.379,47.0,0.4197,63.0,0.3448,38.0,0.2762,49.0,0.2196,4.0,0.2686,7.0,0.3176,16.0,20251219.0,35.0,217.0
ACET,79.0,,,0.6935999989509583,,1.5586,98.0,0.9775,94.0,,,,,,,1.0338,88.0,0.8934,92.0,,,,,,,20260116.0,35.0,245.0
ACGL,103.0,,,92.06999969482422,,0.2415,76.0,0.1623,46.0,0.2389,65.0,0.2516,69.0,0.2642,73.0,0.2732,86.0,0.2367,82.0,0.2686,80.0,0.2672,78.0,0.2658,76.0,20251219.0,35.0,217.0
ACHC,86.0,,,22.530000686645508,,0.4761,86.0,0.4201,82.0,0.6415,93.0,0.6354,94.0,0.6294,93.0,0.6183,95.0,0.479,88.0,0.5725,96.0,0.6161,99.0,0.6597,99.0,20260116.0,35.0,245.0
