symbol,pass_report_days,next_report_days,next_report_date,current_price,market_cap,hv10,hv10_rank,phv10,phv10_rank,ivcall10,ivcall10_rank,ivmean10,ivmean10_rank,ivput10,ivput10_rank,hv180,hv180_rank,phv180,phv180_rank,ivcall1080,ivcall1080_rank,ivmean1080,ivmean1080_rank,ivput1080,ivput1080_rank,max_expiry,min_days,max_days
A,93.0,,,113.27999877929688,,0.3513,77.0,0.2224,53.0,0.3061,57.0,0.3086,57.0,0.311,59.0,0.3402,76.0,0.2995,80.0,0.3205,67.0,0.3159,61.0,0.3113,54.0,20270115.0,35.0,609.0
AA,128.0,,,27.6299991607666,,0.1642,8.0,0.3407,57.0,0.492,74.0,0.4826,73.0,0.4732,70.0,0.5591,81.0,0.4806,84.0,0.4739,76.0,0.4951,77.0,0.5163,79.0,20270115.0,7.0,609.0
AAAU,,,,32.755001068115234,,0.2198,,0.0976,,0.1866,,0.2579,,0.3291,,0.1921,,0.0995,,0.1812,,0.1824,,0.1836,,20251219.0,35.0,217.0
AAL,127.0,,,11.399999618530272,,0.4004,60.0,0.3037,44.0,0.4467,70.0,0.4512,71.0,0.4557,72.0,0.6231,91.0,0.4719,84.0,0.4871,78.0,0.497,80.0,0.5068,79.0,20271217.0,7.0,945.0
AAMI,113.0,,,30.049999237060547,,0.2868,,0.1584,,0.3115,,0.3644,,0.4173,,0.0,,0.0,,0.3115,,0.3253,,0.3391,,20260116.0,35.0,245.0
AAOI,93.0,,,16.93000030517578,,0.818,71.0,0.7951,79.0,0.9496,76.0,0.9678,77.0,0.986,78.0,1.4047,96.0,1.1572,97.0,0.9262,83.0,0.9358,83.0,0.9453,82.0,20270115.0,7.0,609.0
AAON,92.0,,,96.1500015258789,,0.265,48.0,0.2791,50.0,0.4558,86.0,0.4339,82.0,0.412,78.0,0.6336,97.0,0.4673,97.0,0.4786,99.0,0.4734,99.0,0.4683,98.0,20260116.0,35.0,245.0
AAP,93.0,,,48.36000061035156,,2.9435,100.0,0.9186,100.0,0.4872,90.0,0.4924,91.0,0.4977,91.0,0.8719,100.0,0.5379,98.0,0.5706,98.0,0.554,97.0,0.5374,95.0,20270115.0,7.0,609.0
AAPB,,,,19.38999938964844,,0.589,,0.3818,,0.6354,,0.6042,,0.5731,,0.7937,,0.5945,,0.509,,0.567,,0.625,,20260116.0,35.0,245.0
AAPD,,,,18.030000686645508,,0.2845,,0.1939,,,,,,0.3525,,0.4119,,0.3119,,,,,,0.3643,,20260116.0,35.0,245.0
AAPL,120.0,,,199.9499969482422,,0.2862,59.0,0.2009,42.0,0.2916,51.0,0.2916,51.0,0.2917,52.0,0.402,83.0,0.3136,71.0,0.2814,32.0,0.2993,38.0,0.3172,46.0,20271217.0,7.0,945.0
AAPU,,,,21.170000076293945,,0.574,,0.3987,,0.5862,,0.6136,,0.641,,0.7915,,0.6108,,0.5213,,0.5676,,0.614,,20260116.0,35.0,245.0
AAPW,,,,35.869998931884766,,0.2911,,0.2056,,,,,,0.437,,0.0,,0.0,,,,,,0.6319,,20251219.0,35.0,217.0
AAPX,,,,18.239999771118164,,0.5839,,0.3822,,0.6242,,0.6241,,0.624,,0.8261,,0.5892,,0.5555,,0.5737,,0.5919,,20251219.0,35.0,217.0
AAPY,,,,21.105100631713867,,0.2927,,0.1122,,,,,,0.3905,,0.3461,,0.1971,,,,,,0.3928,,20260116.0,35.0,245.0
AAT,115.0,,,20.149999618530277,,0.3489,87.0,0.2017,51.0,,,,,0.4521,86.0,0.305,80.0,0.2772,82.0,,,,,0.3954,86.0,20260116.0,35.0,245.0
AAXJ,,,,78.47000122070312,,0.0611,3.0,0.0649,17.0,0.1354,18.0,0.1542,26.0,0.1729,40.0,0.2236,81.0,0.1338,88.0,0.1576,30.0,0.1744,26.0,0.1913,24.0,20251219.0,35.0,217.0
AB,113.0,,,40.15999984741211,,0.2624,53.0,0.2434,44.0,0.2076,19.0,0.2412,24.0,0.2747,35.0,0.3501,76.0,0.303,64.0,0.1617,14.0,0.2367,22.0,0.3117,45.0,20260116.0,35.0,245.0
ABAT,197.0,,,1.340000033378601,,0.4996,42.0,0.5891,53.0,1.1901,,1.1586,,1.127,,1.4917,91.0,1.394,100.0,1.0175,,1.0722,,1.127,,20251219.0,35.0,217.0
ABBV,119.0,,,185.6199951171875,,0.1944,52.0,0.1614,27.0,0.2897,84.0,0.291,83.0,0.2922,79.0,0.2901,75.0,0.2825,85.0,0.2275,54.0,0.2855,86.0,0.3435,84.0,20270115.0,7.0,609.0
ABCB,120.0,,,61.880001068115234,,0.23,44.0,0.1726,9.0,0.2687,26.0,0.317,45.0,0.3652,66.0,0.3358,74.0,0.285,57.0,0.2638,26.0,0.2824,37.0,0.3009,45.0,20260116.0,35.0,245.0
ABCL,92.0,,,2.039999961853028,,0.4453,28.0,0.474,25.0,0.7884,57.0,0.7708,,0.7533,,0.695,69.0,0.6671,75.0,0.8607,60.0,0.7887,,0.7167,,20260116.0,35.0,245.0
ABEO,71.0,,,6.159999847412109,,0.4782,25.0,0.7088,48.0,1.1279,57.0,1.08,51.0,1.032,45.0,0.6395,16.0,0.6646,13.0,0.8816,41.0,0.966,46.0,1.0503,59.0,20251219.0,35.0,217.0
ABEV,93.0,,,2.490000009536743,,0.1059,2.0,0.1943,25.0,0.2561,19.0,0.3067,28.0,0.3574,33.0,0.3255,60.0,0.2705,64.0,0.2152,11.0,0.3324,40.0,0.4496,61.0,20270115.0,35.0,609.0
ABFL,,,,68.3499984741211,,0.1533,,0.0953,,0.1498,,0.1632,,0.1767,,0.0,,0.0,,0.1602,,0.1801,,0.2,,20251219.0,35.0,217.0
