symbol,pass_report_days,next_report_days,next_report_date,current_price,market_cap,hv10,hv10_rank,phv10,phv10_rank,ivcall10,ivcall10_rank,ivmean10,ivmean10_rank,ivput10,ivput10_rank,hv180,hv180_rank,phv180,phv180_rank,ivcall1080,ivcall1080_rank,ivmean1080,ivmean1080_rank,ivput1080,ivput1080_rank,max_expiry,min_days,max_days
A,111.0,,,119.0199966430664,,0.265,57.0,0.2307,56.0,0.2629,41.0,0.2906,52.0,0.3184,62.0,0.3409,76.0,0.2989,79.0,0.3131,64.0,0.3064,57.0,0.2998,45.0,20270115.0,35.0,609.0
AA,146.0,,,29.01000022888184,,0.2137,19.0,0.298,46.0,0.5391,82.0,0.521,79.0,0.5029,76.0,0.55,80.0,0.4785,84.0,0.4969,80.0,0.4994,78.0,0.5018,76.0,20270115.0,7.0,609.0
AAAU,,,,33.41999816894531,,0.1767,,0.0873,,0.2055,,0.2182,,0.231,,0.1956,,0.1016,,0.189,,0.1932,,0.1974,,20251219.0,35.0,217.0
AACT,,,,11.300000190734863,,0.0238,,0.0508,,,,,,,,0.0321,,0.0336,,,,,,,,,,
AAL,145.0,,,10.899999618530272,,0.7002,92.0,0.4079,76.0,0.4399,69.0,0.4342,67.0,0.4285,66.0,0.5973,90.0,0.4674,83.0,0.4897,78.0,0.4956,80.0,0.5016,79.0,20271217.0,7.0,945.0
AAMI,131.0,,,31.700000762939453,,0.2133,,0.2582,,0.2818,,0.3413,,0.4008,,0.0,,0.0,,0.2818,,0.3413,,0.4008,,20260116.0,35.0,245.0
AAOI,111.0,,,17.09000015258789,,0.9348,79.0,0.9637,89.0,0.965,77.0,0.9623,77.0,0.9596,76.0,1.3468,95.0,1.1262,96.0,0.9812,87.0,0.9915,88.0,1.0018,87.0,20270115.0,7.0,609.0
AAON,110.0,,,73.70999908447266,,1.0519,100.0,0.8139,100.0,0.5186,93.0,0.535,94.0,0.5513,95.0,0.6769,99.0,0.4982,97.0,0.4963,99.0,0.5012,100.0,0.5061,99.0,20260116.0,35.0,245.0
AAP,111.0,,,48.459999084472656,,0.3674,81.0,0.3554,85.0,0.4597,88.0,0.4628,88.0,0.4658,87.0,0.8651,100.0,0.5304,98.0,0.5702,98.0,0.5457,96.0,0.5212,94.0,20270115.0,7.0,609.0
AAPB,,,,18.940000534057617,,0.4314,,0.3882,,0.6915,,0.618,,0.5446,,0.796,,0.6009,,0.5231,,0.5658,,0.6086,,20260116.0,35.0,245.0
AAPD,,,,18.21999931335449,,0.2112,,0.2014,,,,,,0.2944,,0.4129,,0.315,,,,,,0.3434,,20260116.0,35.0,245.0
AAPL,138.0,,,198.4199981689453,,0.2154,39.0,0.2057,44.0,0.2529,39.0,0.2533,39.0,0.2537,39.0,0.4031,84.0,0.3167,73.0,0.2862,33.0,0.3041,39.0,0.322,47.0,20271217.0,7.0,945.0
AAPU,,,,20.709999084472656,,0.4293,,0.4063,,0.5712,,0.5496,,0.528,,0.7938,,0.6171,,0.4865,,0.5558,,0.6251,,20260116.0,35.0,245.0
AAPW,,,,34.8120002746582,,0.2642,,0.2046,,,,,,0.5271,,0.0,,0.0,,,,,,0.6319,,20251219.0,35.0,217.0
AAPX,,,,17.829999923706055,,0.4173,,0.3807,,0.4931,,0.5741,,0.6551,,0.8275,,0.5962,,0.5308,,0.5586,,0.5863,,20251219.0,35.0,217.0
AAPY,,,,20.999000549316406,,0.1845,,0.1362,,,,,,0.3674,,0.3473,,0.2013,,,,,,0.3841,,20260116.0,35.0,245.0
AAT,133.0,,,20.39999961853028,,0.2053,54.0,0.2013,51.0,,,,,0.424,82.0,0.3124,81.0,0.2789,82.0,,,,,0.4782,95.0,20260116.0,35.0,245.0
