symbol,pass_report_days,next_report_days,next_report_date,current_price,market_cap,hv10,hv10_rank,phv10,phv10_rank,ivcall10,ivcall10_rank,ivmean10,ivmean10_rank,ivput10,ivput10_rank,hv180,hv180_rank,phv180,phv180_rank,ivcall1080,ivcall1080_rank,ivmean1080,ivmean1080_rank,ivput1080,ivput1080_rank,max_expiry,min_days,max_days
A,79.0,,,112.4000015258789,,0.5607,94.0,0.3178,82.0,0.2925,53.0,0.3398,69.0,0.3871,79.0,0.34,76.0,0.3046,81.0,0.3001,57.0,0.3226,65.0,0.345,70.0,20270115.0,35.0,609.0
AA,114.0,,,28.670000076293945,,0.627,87.0,0.3555,61.0,0.4603,68.0,0.4746,71.0,0.4888,73.0,0.5728,83.0,0.4773,83.0,0.4754,76.0,0.4916,76.0,0.5079,78.0,20270115.0,7.0,609.0
AAAU,,,,31.920000076293945,,0.2661,,0.1282,,0.213,,0.2308,,0.2485,,0.1926,,0.098,,0.191,,0.1928,,0.1945,,20251219.0,35.0,217.0
AAL,113.0,,,11.760000228881836,,0.5315,80.0,0.4107,76.0,0.5374,82.0,0.5452,83.0,0.5529,84.0,0.6213,91.0,0.4717,84.0,0.4885,78.0,0.4965,80.0,0.5045,79.0,20271217.0,7.0,945.0
AAMI,99.0,,,30.5,,0.186,,0.2381,,0.2912,,0.3546,,0.4181,,0.0,,0.0,,0.2912,,0.3343,,0.3773,,20260116.0,35.0,245.0
AAOI,79.0,,,18.8700008392334,,1.4855,94.0,1.3121,97.0,0.9433,76.0,0.9388,75.0,0.9343,75.0,1.426,96.0,1.1666,97.0,0.9784,87.0,0.9864,88.0,0.9945,86.0,20270115.0,7.0,609.0
AAON,78.0,,,104.11000061035156,,0.3764,78.0,0.3033,61.0,0.3905,74.0,0.3959,72.0,0.4012,75.0,0.6312,97.0,0.4682,97.0,0.4614,98.0,0.4638,98.0,0.4663,98.0,20260116.0,35.0,245.0
AAP,79.0,,,34.41999816894531,,0.5796,95.0,0.3499,84.0,1.0219,100.0,1.0399,100.0,1.0579,100.0,0.586,94.0,0.5143,97.0,0.5444,97.0,0.5824,98.0,0.6205,99.0,20270115.0,7.0,609.0
AAPB,,,,21.760000228881836,,0.7358,,0.3961,,0.5236,,0.5317,,0.5398,,0.7865,,0.5897,,0.4312,,0.5572,,0.6831,,20260116.0,35.0,245.0
AAPD,,,,17.049999237060547,,0.407,,0.2057,,0.2322,,0.2542,,0.2763,,0.4085,,0.3099,,0.2079,,0.2711,,0.3343,,20260116.0,35.0,245.0
AAPL,106.0,,,211.4499969482422,,0.3828,79.0,0.2094,45.0,0.2618,42.0,0.257,40.0,0.2521,39.0,0.3986,82.0,0.3116,70.0,0.2779,32.0,0.294,35.0,0.3101,44.0,20271217.0,7.0,945.0
AAPU,,,,23.84000015258789,,0.7418,,0.4104,,0.5613,,0.5324,,0.5034,,0.7849,,0.6065,,0.4545,,0.5078,,0.561,,20260116.0,35.0,245.0
AAPW,,,,38.821998596191406,,0.4288,,0.2117,,,,,,0.4125,,0.0,,0.0,,,,,,0.6158,,20251219.0,35.0,217.0
AAPX,,,,20.510000228881836,,0.7865,,0.3829,,0.5914,,0.5382,,0.485,,0.8207,,0.583,,0.3727,,0.743,,1.1134,,20251219.0,35.0,217.0
AAPY,,,,22.32900047302246,,0.3204,,0.1094,,,,,,0.3923,,0.3423,,0.1964,,,,,,0.4219,,20260116.0,35.0,245.0
AAT,101.0,,,19.649999618530273,,0.1345,21.0,0.1867,40.0,0.7019,98.0,0.6083,96.0,0.5147,91.0,0.2987,79.0,0.2772,82.0,0.7019,100.0,0.6083,100.0,0.5147,97.0,20260116.0,35.0,245.0
AAXJ,,,,78.69999694824219,,0.1959,70.0,0.0748,28.0,0.1536,33.0,0.1667,38.0,0.1798,46.0,0.2242,81.0,0.1337,88.0,0.1587,32.0,0.1826,35.0,0.2066,42.0,20251219.0,35.0,217.0
AB,99.0,,,40.439998626708984,,0.2501,50.0,0.2005,25.0,0.2052,18.0,0.2137,13.0,0.2222,12.0,0.3539,76.0,0.3044,65.0,0.1461,8.0,0.2354,22.0,0.3246,52.0,20260116.0,35.0,245.0
ABAT,183.0,,,1.5800000429153442,,0.958,79.0,1.0289,85.0,1.3136,,1.231,,1.1483,,1.5125,91.0,1.4089,100.0,0.8923,,1.0862,,1.2801,,20251219.0,35.0,217.0
ABBV,105.0,,,181.67999267578125,,0.4573,95.0,0.3909,96.0,0.3912,97.0,0.3774,97.0,0.3637,94.0,0.2959,76.0,0.2855,87.0,0.2253,53.0,0.283,83.0,0.3406,82.0,20270115.0,7.0,609.0
ABCB,106.0,,,63.279998779296875,,0.2823,61.0,0.1663,7.0,0.3088,48.0,0.3256,48.0,0.3425,59.0,0.3378,74.0,0.2872,57.0,0.2762,39.0,0.2864,39.0,0.2966,43.0,20260116.0,35.0,245.0
ABCL,78.0,,,2.0199999809265137,,0.2573,4.0,0.6555,72.0,3.1339,100.0,1.9478,,0.7617,,0.7056,73.0,0.6725,76.0,3.1339,100.0,1.9102,,0.6864,,20260116.0,35.0,245.0
ABEO,57.0,,,5.789999961853027,,0.9629,80.0,0.8483,66.0,0.8275,28.0,0.8058,21.0,0.7841,16.0,0.6301,15.0,0.6505,12.0,0.9395,48.0,0.874,37.0,0.8085,24.0,20251219.0,35.0,217.0
ABEV,79.0,,,2.5399999618530273,,0.1193,4.0,0.2309,47.0,0.2482,17.0,0.2546,14.0,0.2609,2.0,0.3268,61.0,0.2696,63.0,0.2771,34.0,0.2958,24.0,0.3146,11.0,20270115.0,35.0,609.0
ABFL,,,,68.48200225830078,,0.1832,,0.0627,,0.1502,,0.1552,,0.1602,,0.0,,0.0,,0.1616,,0.1772,,0.1927,,20251219.0,35.0,217.0
ABG,106.0,,,233.67999267578125,,0.4036,64.0,0.2586,28.0,0.3236,33.0,0.3425,39.0,0.3614,48.0,0.3934,57.0,0.3604,59.0,0.3589,44.0,0.364,44.0,0.3692,47.0,20260116.0,35.0,245.0
ABL,190.0,,,8.960000038146973,,0.3206,,0.4302,,0.4608,,0.4425,,0.4242,,0.4703,,0.5134,,0.4638,,0.444,,0.4242,,20270115.0,35.0,609.0
ABM,65.0,,,52.29999923706055,,0.1529,23.0,0.1661,21.0,0.3548,68.0,0.3964,78.0,0.438,82.0,0.3313,69.0,0.3045,73.0,0.2857,56.0,0.3085,57.0,0.3313,64.0,20260116.0,35.0,245.0
ABNB,92.0,,,136.7899932861328,,0.3396,39.0,0.2568,22.0,0.3071,16.0,0.3048,15.0,0.3025,14.0,0.4608,59.0,0.3538,53.0,0.3929,22.0,0.3948,18.0,0.3967,11.0,20270115.0,7.0,609.0
ABNY,,,,12.630000114440918,,0.2197,,0.1554,,,,,,0.691,,0.3715,,0.2553,,,,,,0.7561,,20260116.0,35.0,245.0
ABOS,185.0,,,1.0099999904632568,,0.6745,,0.6081,,,,,,,,0.7324,,0.8017,,,,,,,,20260116.0,35.0,245.0
ABR,84.0,,,10.84000015258789,,0.3472,81.0,0.2669,71.0,0.2787,49.0,0.5215,86.0,0.7643,95.0,0.3716,79.0,0.3737,90.0,0.1264,10.0,0.4047,71.0,0.683,89.0,20270115.0,7.0,609.0
ABSI,59.0,,,2.9600000381469727,,0.4989,,1.1155,,0.8938,,1.015,,1.1363,,1.0867,,1.0286,,1.3194,,1.1974,,1.0753,,20251121.0,35.0,189.0
ABT,114.0,,,133.35000610351562,,0.2916,86.0,0.207,73.0,0.2236,69.0,0.2248,68.0,0.226,68.0,0.2245,70.0,0.2223,82.0,0.2101,48.0,0.2358,61.0,0.2616,67.0,20270115.0,7.0,609.0
ABUS,191.0,,,3.119999885559082,,0.4087,32.0,0.5522,45.0,1.6496,93.0,2.8891,100.0,4.1286,100.0,0.4701,26.0,0.4979,21.0,0.9315,49.0,0.881,44.0,0.8304,41.0,20270115.0,35.0,609.0
ACA,78.0,,,88.27999877929688,,0.5546,90.0,0.3787,80.0,0.2779,15.0,0.2748,11.0,0.2716,11.0,0.3804,67.0,0.3288,60.0,0.3361,38.0,0.3264,25.0,0.3167,19.0,20251219.0,35.0,217.0
ACAD,79.0,,,17.600000381469727,,0.7914,82.0,0.694,78.0,0.7069,59.0,0.9448,80.0,1.1826,91.0,0.4756,15.0,0.4426,22.0,0.5547,25.0,0.6183,43.0,0.6819,62.0,20251219.0,35.0,217.0
ACB,100.0,,,4.960000038146973,,0.4022,17.0,0.3889,7.0,0.7724,32.0,0.796,31.0,0.8196,30.0,0.7914,42.0,0.6284,37.0,0.5265,10.0,0.668,10.0,0.8096,16.0,20270115.0,35.0,609.0
ACCO,85.0,,,3.900000095367432,,0.3616,65.0,0.2996,51.0,0.9114,98.0,,,,,0.489,89.0,0.3906,84.0,0.9114,100.0,,,,,20251219.0,35.0,217.0
ACDC,71.0,,,6.28000020980835,,1.3767,,1.3161,,0.6877,,0.6858,,0.6838,,0.9803,,0.8309,,0.7483,,0.7558,,0.7634,,20251121.0,35.0,189.0
ACEL,198.0,,,11.8100004196167,,0.2582,35.0,0.2078,16.0,0.2864,3.0,,,,,0.3354,30.0,0.3133,39.0,0.2864,2.0,,,,,20260116.0,35.0,245.0
ACES,,,,26.36000061035156,,0.2458,20.0,0.2261,28.0,0.2653,11.0,0.3074,16.0,0.3495,33.0,0.337,31.0,0.2762,49.0,0.1942,2.0,0.2446,4.0,0.295,8.0,20251219.0,35.0,217.0
ACET,71.0,,,0.6380000114440918,,2.3979,99.0,1.4004,99.0,,,,,,,1.002,84.0,0.8894,92.0,,,,,,,20260116.0,35.0,245.0
ACGL,95.0,,,93.54000091552734,,0.3041,87.0,0.2293,77.0,0.2506,71.0,0.2701,76.0,0.2896,80.0,0.2768,87.0,0.2392,83.0,0.254,72.0,0.2656,77.0,0.2772,82.0,20251219.0,35.0,217.0
ACHC,78.0,,,25.63999938964844,,0.6505,94.0,0.6371,96.0,0.6351,93.0,0.6248,93.0,0.6146,92.0,0.6148,95.0,0.4798,88.0,0.5791,97.0,0.62,99.0,0.6608,99.0,20260116.0,35.0,245.0
