symbol,pass_report_days,next_report_days,next_report_date,current_price,market_cap,hv10,hv10_rank,phv10,phv10_rank,ivcall10,ivcall10_rank,ivmean10,ivmean10_rank,ivput10,ivput10_rank,hv180,hv180_rank,phv180,phv180_rank,ivcall1080,ivcall1080_rank,ivmean1080,ivmean1080_rank,ivput1080,ivput1080_rank
A,48.0,,,105.19000244140624,,0.85,99.0,0.705,99.0,0.4526,87.0,0.4472,87.0,0.4419,86.0,0.3247,71.0,0.2965,79.0,0.3302,71.0,0.3496,76.0,0.3691,80.0
AA,83.0,,,25.010000228881836,,1.3475,99.0,1.2246,100.0,0.8596,98.0,0.8676,98.0,0.8755,98.0,0.549,80.0,0.4735,83.0,0.5555,88.0,0.5684,89.0,0.5812,90.0
AAL,82.0,,,9.579999923706056,,1.7353,100.0,1.1937,100.0,0.7937,95.0,0.7896,95.0,0.7856,95.0,0.619,91.0,0.4642,83.0,0.5433,85.0,0.537,84.0,0.5306,83.0
AAMI,68.0,,,26.649999618530273,,0.7978,,0.7941,,0.3963,,0.4464,,0.4966,,0.3681,,0.3494,,0.3409,,0.4188,,0.4966,
AAOI,48.0,,,11.25,,2.3207,99.0,2.057,100.0,1.2938,92.0,1.304,92.0,1.3142,92.0,1.505,98.0,1.1904,98.0,1.0425,93.0,1.0576,93.0,1.0726,93.0
AAON,47.0,,,84.01000213623047,,0.8717,99.0,0.8821,100.0,0.5704,96.0,0.62,99.0,0.6696,99.0,0.6664,99.0,0.4701,97.0,0.5244,100.0,0.5303,100.0,0.5362,100.0
AAP,48.0,,,32.880001068115234,,0.9736,99.0,0.9353,100.0,0.6005,96.0,0.5844,96.0,0.5683,95.0,0.5827,94.0,0.5092,97.0,0.5415,97.0,0.5796,98.0,0.6178,99.0
AAPB,,,,20.329999923706055,,2.2794,,1.7688,,1.2756,,1.167,,1.0583,,0.7418,,0.5719,,0.6091,,0.6227,,0.6364,
AAPD,,,,17.90999984741211,,1.2862,,0.9585,,0.5719,,,,,,0.3874,,0.3013,,0.2823,,,,,
AAPL,75.0,,,202.52000427246097,,1.1952,100.0,0.9199,100.0,0.4539,88.0,0.45,87.0,0.446,87.0,0.376,76.0,0.3027,68.0,0.2947,36.0,0.3143,43.0,0.3339,52.0
AAPU,,,,22.290000915527344,,2.2674,,1.8027,,0.9356,,1.0128,,1.0899,,0.7526,,0.5888,,0.5667,,0.6292,,0.6917,
AAT,70.0,,,18.829999923706055,,0.6875,99.0,0.6536,100.0,0.5001,88.0,,,,,0.3051,80.0,0.2771,82.0,0.5001,97.0,,,,
AAXJ,,,,71.06999969482422,,0.694,100.0,0.4164,100.0,0.2271,83.0,0.235,84.0,0.2428,83.0,0.2284,83.0,0.1339,88.0,0.2175,85.0,0.2248,81.0,0.2321,72.0
AB,68.0,,,37.77000045776367,,0.8182,97.0,0.6541,96.0,0.1918,13.0,0.4171,86.0,0.6424,95.0,0.3555,76.0,0.2992,63.0,0.1918,26.0,0.2702,44.0,0.3486,62.0
ABAT,152.0,,,1.0199999809265137,,0.8028,70.0,0.8703,75.0,1.3667,,,,,,1.4101,90.0,1.3107,99.0,0.943,,,,,
ABBV,74.0,,,179.10000610351562,,0.6295,99.0,0.6687,100.0,0.4607,99.0,0.4562,99.0,0.4518,99.0,0.3325,87.0,0.2679,82.0,0.2972,97.0,0.2978,94.0,0.2985,55.0
ABCB,75.0,,,51.68000030517578,,0.7133,97.0,0.6766,99.0,0.5174,89.0,0.447,79.0,0.3766,70.0,0.3821,87.0,0.2919,63.0,0.3497,74.0,0.3603,74.0,0.3709,81.0
ABCL,47.0,,,2.440000057220459,,1.275,99.0,1.0935,98.0,3.5492,100.0,2.223,,0.8969,,0.7443,89.0,0.6714,76.0,0.9332,76.0,0.9021,,0.871,
ABEO,26.0,,,4.949999809265137,,1.0586,86.0,1.0638,84.0,2.4638,94.0,2.6246,93.0,2.7854,93.0,0.4902,8.0,0.5378,7.0,1.57,86.0,1.5643,86.0,1.5586,87.0
ABEV,48.0,,,2.2899999618530273,,0.6324,97.0,0.4416,98.0,0.3143,42.0,0.3176,34.0,0.3209,17.0,0.3424,71.0,0.2625,56.0,0.2141,11.0,0.2946,24.0,0.3752,34.0
ABG,75.0,,,225.47999572753903,,0.7315,93.0,0.8265,96.0,0.4789,80.0,0.4874,80.0,0.4959,82.0,0.4046,59.0,0.3499,56.0,0.4211,68.0,0.4224,67.0,0.4238,68.0
ABL,159.0,,,8.09000015258789,,0.9877,,0.9533,,0.5857,,0.5812,,0.5768,,0.5073,,0.5334,,0.543,,0.5599,,0.5768,
ABM,34.0,,,46.95000076293945,,0.6575,96.0,0.6186,98.0,0.4553,85.0,0.4521,84.0,0.4489,83.0,0.3369,70.0,0.3032,73.0,0.3679,80.0,0.3673,76.0,0.3667,76.0
ABNB,61.0,,,113.22000122070312,,1.0765,100.0,0.838,98.0,0.4607,59.0,0.4621,59.0,0.4635,60.0,0.4697,61.0,0.3451,51.0,0.4203,33.0,0.4267,28.0,0.4331,24.0
ABNY,,,,11.246000289916992,,0.8147,,0.4894,,,,,,0.8683,,0.3992,,0.246,,,,,,0.8683,
ABOS,154.0,,,1.100000023841858,,1.0241,,1.2173,,,,,,,,0.7343,,0.7797,,,,,,,
ABR,53.0,,,10.720000267028809,,0.8634,99.0,0.8471,99.0,0.2891,53.0,0.3432,57.0,0.3972,69.0,0.3484,71.0,0.3586,88.0,0.1755,37.0,0.4221,75.0,0.6687,88.0
ABSI,28.0,,,3.0899999141693115,,1.4267,,1.4174,,1.3076,,1.3446,,1.3816,,1.1283,,1.0102,,1.1722,,1.1862,,1.2001,
ABT,83.0,,,127.95999908447266,,0.4372,97.0,0.4401,99.0,0.4334,99.0,0.3909,97.0,0.3483,95.0,0.2271,71.0,0.2149,78.0,0.2584,78.0,0.2558,73.0,0.2531,59.0
ABUS,160.0,,,3.2799999713897705,,1.018,89.0,0.9198,87.0,0.691,19.0,0.6998,16.0,0.7087,20.0,0.463,25.0,0.4798,19.0,0.8334,37.0,0.8184,33.0,0.8035,35.0
ACA,47.0,,,77.95999908447266,,0.7737,96.0,0.7177,98.0,0.5441,93.0,0.5075,90.0,0.471,82.0,0.3648,59.0,0.32,56.0,0.3914,80.0,0.3845,77.0,0.3776,72.0
ACAD,48.0,,,14.859999656677246,,0.7537,79.0,0.7727,85.0,1.1255,89.0,1.0834,88.0,1.0413,85.0,0.4573,12.0,0.424,17.0,0.6104,42.0,0.6462,52.0,0.6819,62.0
ACB,69.0,,,4.25,,0.8694,74.0,0.858,81.0,0.6982,23.0,0.8375,34.0,0.9768,48.0,0.8467,48.0,0.6654,41.0,0.6946,27.0,0.722,14.0,0.7493,8.0
ACCO,54.0,,,3.7200000286102295,,0.8849,97.0,0.7595,100.0,,,,,,,0.4993,90.0,0.3849,84.0,,,,,,
ACDC,40.0,,,4.789999961853027,,2.3641,,1.7849,,1.1878,,1.1191,,1.0505,,0.9206,,0.7733,,0.8694,,0.8753,,0.8812,
ACEL,167.0,,,11.029999732971191,,0.4091,74.0,0.5836,94.0,0.3873,22.0,,,,,0.3144,21.0,0.3031,37.0,0.3873,28.0,,,,
ACES,,,,21.979999542236328,,0.8218,100.0,0.6692,100.0,0.4429,74.0,0.4376,72.0,0.4323,69.0,0.3361,30.0,0.2733,47.0,0.3055,44.0,0.3204,35.0,0.3352,28.0
ACET,40.0,,,0.5659999847412109,,1.8317,98.0,1.3889,99.0,,,,,,,0.8209,79.0,0.8207,91.0,,,,,,
ACGL,64.0,,,92.87000274658205,,0.7473,99.0,0.5488,99.0,0.43,96.0,0.3738,93.0,0.3176,86.0,0.2907,88.0,0.2325,81.0,0.3103,90.0,0.3124,91.0,0.3144,90.0
ACHC,47.0,,,26.38999938964844,,0.7651,96.0,0.7036,97.0,0.6288,93.0,0.696,96.0,0.7631,97.0,0.6491,96.0,0.4495,86.0,0.5638,96.0,0.5692,96.0,0.5745,96.0
ACHR,47.0,,,7.25,,1.3838,,1.3606,,0.7594,,0.7352,,0.7109,,1.1798,,1.0675,,0.8578,,0.842,,0.8262,
ACHV,35.0,,,2.1700000762939453,,1.1706,,1.4296,,,,,,,,0.6222,,0.6633,,,,,,,
ACI,97.0,,,21.56999969482422,,0.3625,46.0,0.3989,56.0,0.3819,35.0,0.4608,55.0,0.5397,67.0,0.2646,14.0,0.2686,18.0,0.2298,7.0,0.2403,1.0,0.2508,1.0
ACIC,47.0,,,11.100000381469728,,0.3223,,0.6641,,0.6434,,0.602,,0.5606,,0.4763,,0.4315,,0.459,,0.471,,0.4831,
ACIU,33.0,,,1.5199999809265137,,0.6497,64.0,0.9752,89.0,,,,,,,0.5349,5.0,0.5985,10.0,,,,,,
ACIW,47.0,,,52.130001068115234,,0.8912,98.0,0.7852,98.0,0.5365,85.0,0.5302,85.0,0.5238,85.0,0.3963,73.0,0.3423,68.0,0.4068,78.0,0.4041,78.0,0.4014,77.0
ACLS,64.0,,,47.47999954223633,,1.2006,96.0,1.1243,96.0,0.7257,91.0,0.709,89.0,0.6924,88.0,0.5408,55.0,0.4888,54.0,0.5777,77.0,0.5773,76.0,0.5769,75.0
ACLX,47.0,,,60.29999923706055,,0.959,,1.0282,,0.6117,,0.8585,,1.1053,,0.5842,,0.5853,,0.6506,,0.6841,,0.7176,
ACM,71.0,,,94.30999755859376,,0.6377,95.0,0.5759,96.0,0.3883,76.0,0.3613,68.0,0.3343,59.0,0.2687,37.0,0.262,52.0,0.2804,28.0,0.2964,43.0,0.3123,54.0
ACMR,48.0,,,20.15999984741211,,1.1945,92.0,1.2165,97.0,0.8788,90.0,0.8892,90.0,0.8996,90.0,0.7744,61.0,0.6054,69.0,0.6919,60.0,0.696,61.0,0.7001,64.0
ACN,26.0,,,289.7900085449219,,0.6489,97.0,0.5199,98.0,0.2656,63.0,0.2986,72.0,0.3317,79.0,0.3027,76.0,0.2379,71.0,0.263,66.0,0.2953,76.0,0.3276,80.0
