symbol,pass_report_days,next_report_days,next_report_date,current_price,market_cap,hv10,hv10_rank,phv10,phv10_rank,ivcall10,ivcall10_rank,ivmean10,ivmean10_rank,ivput10,ivput10_rank,hv180,hv180_rank,phv180,phv180_rank,ivcall1080,ivcall1080_rank,ivmean1080,ivmean1080_rank,ivput1080,ivput1080_rank,max_expiry,min_days,max_days
A,98.0,,,112.76000213623048,,0.2534,55.0,0.2083,45.0,0.2692,44.0,0.2862,51.0,0.3033,56.0,0.3384,76.0,0.2988,79.0,0.3147,65.0,0.3119,59.0,0.3091,53.0,20270115.0,35.0,609.0
AA,133.0,,,27.65999984741211,,0.3463,49.0,0.4226,76.0,0.5063,77.0,0.5101,77.0,0.5139,77.0,0.5616,82.0,0.4835,84.0,0.467,75.0,0.4897,76.0,0.5124,79.0,20270115.0,7.0,609.0
AAAU,,,,33.11000061035156,,0.2529,,0.0746,,0.1976,,0.2254,,0.2532,,0.1953,,0.0997,,0.1862,,0.1921,,0.1981,,20251219.0,35.0,217.0
AACT,,,,11.520000457763672,,0.0856,,0.0758,,,,,,,,0.0293,,0.0305,,,,,,,,,,
AAL,132.0,,,11.470000267028809,,0.311,38.0,0.285,36.0,0.4382,68.0,0.4316,67.0,0.4251,65.0,0.6231,91.0,0.4728,84.0,0.4795,77.0,0.4931,79.0,0.5067,79.0,20271217.0,7.0,945.0
AAMI,118.0,,,29.6299991607666,,0.2674,,0.1532,,0.2736,,,,,,0.0,,0.0,,0.2897,,,,,,20260116.0,35.0,245.0
AAOI,98.0,,,16.760000228881836,,0.9225,78.0,0.8116,80.0,0.9691,78.0,0.972,77.0,0.9748,77.0,1.4029,96.0,1.1539,97.0,0.9421,84.0,0.9699,86.0,0.9977,86.0,20270115.0,7.0,609.0
AAON,97.0,,,95.55999755859376,,0.272,51.0,0.2875,54.0,0.4459,85.0,0.4442,84.0,0.4426,85.0,0.6323,97.0,0.4667,97.0,0.4644,98.0,0.4636,98.0,0.4627,98.0,20260116.0,35.0,245.0
AAP,98.0,,,51.970001220703125,,0.781,97.0,0.6492,99.0,0.4582,88.0,0.464,88.0,0.4698,88.0,0.8682,100.0,0.5371,98.0,0.5589,98.0,0.5377,96.0,0.5166,94.0,20270115.0,7.0,609.0
AAPB,,,,20.020000457763672,,0.5461,,0.3466,,0.6322,,0.6349,,0.6376,,0.7932,,0.5956,,0.5037,,0.5535,,0.6033,,20260116.0,35.0,245.0
AAPD,,,,17.770000457763672,,0.2613,,0.1795,,0.307,,,,,,0.4116,,0.3124,,0.227,,,,,,20260116.0,35.0,245.0
AAPL,125.0,,,203.2700042724609,,0.264,54.0,0.184,35.0,0.2886,51.0,0.2865,50.0,0.2844,49.0,0.4017,83.0,0.3141,71.0,0.2787,32.0,0.298,37.0,0.3172,46.0,20271217.0,7.0,945.0
AAPU,,,,21.86000061035156,,0.5324,,0.3631,,0.5422,,0.5494,,0.5567,,0.791,,0.6118,,0.4804,,0.5574,,0.6344,,20260116.0,35.0,245.0
AAPW,,,,36.4474983215332,,0.2708,,0.1922,,,,,,0.4271,,0.0,,0.0,,,,,,0.6258,,20251219.0,35.0,217.0
AAPX,,,,18.809999465942383,,0.5363,,0.3339,,0.5589,,0.5806,,0.6023,,0.8253,,0.5902,,0.5369,,0.5604,,0.584,,20251219.0,35.0,217.0
AAPY,,,,21.417999267578125,,0.2338,,0.1089,,0.164,,0.2591,,0.3542,,0.3457,,0.1981,,0.164,,0.2658,,0.3676,,20260116.0,35.0,245.0
AAT,120.0,,,20.06999969482422,,0.2728,74.0,0.2334,68.0,,,,,0.4883,89.0,0.3061,80.0,0.2779,82.0,,,,,0.2537,49.0,20260116.0,35.0,245.0
AAXJ,,,,78.31999969482422,,0.1205,28.0,0.0695,22.0,0.0936,2.0,0.138,13.0,0.1824,48.0,0.2247,81.0,0.1334,87.0,0.1509,24.0,0.1724,23.0,0.194,27.0,20251219.0,35.0,217.0
AB,118.0,,,40.380001068115234,,0.1414,13.0,0.1944,22.0,0.2069,19.0,0.2195,16.0,0.2321,17.0,0.3484,75.0,0.3031,64.0,0.1486,9.0,0.2254,17.0,0.3021,40.0,20260116.0,35.0,245.0
ABAT,202.0,,,1.4800000190734863,,0.5924,53.0,0.6564,57.0,0.9302,,1.0537,,1.1772,,1.4886,91.0,1.3927,100.0,0.9186,,1.0479,,1.1772,,20251219.0,35.0,217.0
ABBV,124.0,,,187.25,,0.1483,30.0,0.1786,38.0,0.2785,81.0,0.2699,77.0,0.2612,69.0,0.2896,75.0,0.283,85.0,0.2248,52.0,0.2825,83.0,0.3402,82.0,20270115.0,7.0,609.0
ABCB,125.0,,,61.5099983215332,,0.2235,41.0,0.1804,12.0,0.3004,45.0,0.2981,38.0,0.2957,40.0,0.3363,74.0,0.2845,56.0,0.2611,23.0,0.2805,35.0,0.2999,45.0,20260116.0,35.0,245.0
ABCL,97.0,,,2.309999942779541,,0.5594,49.0,0.5667,49.0,0.8381,68.0,0.7639,,0.6897,,0.7039,73.0,0.6723,76.0,0.8838,66.0,0.7964,,0.7089,,20260116.0,35.0,245.0
ABEO,76.0,,,6.269999980926514,,0.4108,17.0,0.5462,21.0,0.7871,23.0,0.847,27.0,0.9068,33.0,0.6337,15.0,0.664,13.0,0.7612,27.0,0.8038,27.0,0.8463,28.0,20251219.0,35.0,217.0
ABEV,98.0,,,2.4800000190734863,,0.1887,20.0,0.199,28.0,0.2298,10.0,0.2762,17.0,0.3225,18.0,0.3226,59.0,0.2652,57.0,0.2215,13.0,0.2927,23.0,0.3639,28.0,20270115.0,35.0,609.0
ABFL,,,,69.81990051269531,,0.0887,,0.0954,,0.1368,,0.1556,,0.1743,,0.0,,0.0,,0.1546,,0.176,,0.1975,,20251219.0,35.0,217.0
ABG,125.0,,,233.6699981689453,,0.1928,15.0,0.25,24.0,0.3208,32.0,0.3352,37.0,0.3497,43.0,0.3904,57.0,0.3583,57.0,0.3522,41.0,0.3591,43.0,0.366,45.0,20260116.0,35.0,245.0
ABL,209.0,,,7.639999866485596,,0.2101,,0.4235,,,,,,0.529,,0.417,,0.5016,,,,,,0.4787,,20270115.0,35.0,609.0
ABM,84.0,,,52.720001220703125,,0.235,53.0,0.1696,23.0,0.4258,81.0,0.4834,87.0,0.5409,91.0,0.3329,70.0,0.3031,73.0,0.2734,51.0,0.298,54.0,0.3227,61.0,20260116.0,35.0,245.0
ABNB,111.0,,,132.89999389648438,,0.2018,10.0,0.2247,13.0,0.2967,12.0,0.2979,12.0,0.2991,13.0,0.4611,59.0,0.3513,53.0,0.391,21.0,0.3996,19.0,0.4083,18.0,20270115.0,7.0,609.0
ABNY,,,,11.937700271606444,,0.392,,0.2479,,0.0951,,0.3924,,0.6898,,0.3817,,0.2587,,0.0951,,0.3924,,0.6898,,20260116.0,35.0,245.0
ABOS,204.0,,,1.0399999618530271,,0.3938,,0.4703,,,,,,,,0.7093,,0.7917,,,,,,,,20260116.0,35.0,245.0
