symbol,pass_report_days,next_report_days,next_report_date,current_price,market_cap,hv10,hv10_rank,phv10,phv10_rank,ivcall10,ivcall10_rank,ivmean10,ivmean10_rank,ivput10,ivput10_rank,hv180,hv180_rank,phv180,phv180_rank,ivcall1080,ivcall1080_rank,ivmean1080,ivmean1080_rank,ivput1080,ivput1080_rank
A,64.0,,,107.5999984741211,,0.1874,32.0,0.2888,76.0,0.3582,74.0,0.3822,79.0,0.4062,82.0,0.3244,71.0,0.3007,80.0,0.3123,64.0,0.3325,69.0,0.3527,74.0
AA,99.0,,,24.530000686645508,,0.5416,80.0,0.4113,74.0,0.5505,83.0,0.5896,87.0,0.6286,91.0,0.5654,82.0,0.4813,84.0,0.4879,78.0,0.5084,80.0,0.5288,81.0
AAL,98.0,,,9.949999809265137,,0.1788,7.0,0.4429,80.0,0.5462,83.0,0.5482,83.0,0.5502,83.0,0.616,91.0,0.4647,83.0,0.5064,81.0,0.5187,82.0,0.531,83.0
AAMI,84.0,,,26.940000534057617,,0.2502,,0.2835,,0.3434,,0.4167,,0.49,,0.3721,,0.3533,,0.3118,,0.4009,,0.49,
AAOI,64.0,,,12.789999961853027,,0.7626,67.0,0.8258,82.0,1.7606,98.0,1.7826,99.0,1.8047,99.0,1.5155,98.0,1.1901,98.0,1.0416,93.0,1.0514,92.0,1.0613,92.0
AAON,63.0,,,91.2699966430664,,0.211,28.0,0.4,89.0,0.6454,98.0,0.6308,99.0,0.6162,98.0,0.664,99.0,0.4779,97.0,0.5146,100.0,0.5157,100.0,0.5169,100.0
AAP,64.0,,,32.720001220703125,,0.2012,37.0,0.4142,92.0,0.5304,93.0,0.5386,94.0,0.5467,94.0,0.5793,94.0,0.5161,98.0,0.5214,96.0,0.5741,98.0,0.6268,99.0
AAPB,,,,22.200000762939453,,0.3736,,0.4443,,0.6578,,0.7792,,0.9005,,0.761,,0.5826,,0.5581,,0.5792,,0.6003,
AAPD,,,,17.049999237060547,,0.1935,,0.2333,,0.5496,,,,,,0.3961,,0.3066,,0.3792,,,,,
AAPL,91.0,,,212.5,,0.1869,28.0,0.2375,55.0,0.4119,82.0,0.4148,82.0,0.4177,83.0,0.3851,79.0,0.3083,69.0,0.275,31.0,0.2954,36.0,0.3159,46.0
AAPU,,,,24.299999237060547,,0.3728,,0.4576,,0.6817,,0.734,,0.7864,,0.7715,,0.5997,,0.5049,,0.5822,,0.6596,
AAT,86.0,,,18.729999542236328,,0.2613,70.0,0.2926,83.0,,,,,,,0.3064,80.0,0.2825,83.0,,,,,,
AAXJ,,,,73.80999755859375,,0.106,20.0,0.0883,47.0,0.2127,77.0,0.2108,74.0,0.209,70.0,0.2281,83.0,0.1348,88.0,0.1894,64.0,0.1967,55.0,0.204,39.0
AB,84.0,,,39.400001525878906,,0.2259,43.0,0.2843,61.0,0.2275,28.0,0.307,57.0,0.3864,74.0,0.357,77.0,0.3043,65.0,0.2422,49.0,0.2232,16.0,0.2041,4.0
ABAT,168.0,,,1.7100000381469729,,1.851,97.0,1.7186,97.0,0.9615,,1.1065,,1.2514,,1.4885,91.0,1.3795,100.0,0.9997,,1.1,,1.2003,
ABBV,90.0,,,195.1000061035156,,0.1631,37.0,0.2828,86.0,0.2369,63.0,0.2478,66.0,0.2587,68.0,0.3441,89.0,0.2776,83.0,0.2242,52.0,0.2758,73.0,0.3273,74.0
ABCB,91.0,,,58.599998474121094,,0.302,67.0,0.309,70.0,0.3662,64.0,0.3408,52.0,0.3154,49.0,0.3822,87.0,0.2932,64.0,0.3399,70.0,0.3276,57.0,0.3154,54.0
ABCL,63.0,,,2.609999895095825,,0.2869,6.0,0.4903,28.0,0.8456,70.0,0.8853,,0.925,,0.73,82.0,0.6747,77.0,0.7886,45.0,0.8368,,0.8851,
ABEO,42.0,,,6.559999942779541,,1.2968,93.0,1.3882,96.0,1.2875,69.0,1.2679,65.0,1.2482,67.0,0.5768,9.0,0.6222,10.0,0.8373,37.0,1.1911,69.0,1.5449,87.0
ABEV,64.0,,,2.5299999713897705,,0.1182,3.0,0.2685,67.0,0.2316,11.0,0.3068,28.0,0.3819,45.0,0.3444,71.0,0.2714,65.0,0.1735,2.0,0.2718,4.0,0.37,32.0
ABG,91.0,,,218.13999938964844,,0.3445,53.0,0.4637,82.0,0.4392,73.0,0.4226,69.0,0.4061,65.0,0.4042,59.0,0.3626,60.0,0.4192,67.0,0.4133,65.0,0.4074,64.0
ABL,175.0,,,8.260000228881836,,0.1458,,0.3143,,0.5417,,0.547,,0.5524,,0.4831,,0.5248,,0.5417,,0.547,,0.5524,
ABM,50.0,,,48.7400016784668,,0.2487,57.0,0.2319,53.0,0.4979,88.0,0.4344,83.0,0.3709,71.0,0.3412,71.0,0.3061,74.0,0.3441,74.0,0.3392,68.0,0.3344,65.0
ABNB,77.0,,,121.91999816894533,,0.3313,37.0,0.3026,37.0,0.6551,87.0,0.687,90.0,0.7189,92.0,0.4753,63.0,0.3519,53.0,0.4142,31.0,0.4182,25.0,0.4223,21.0
ABNY,,,,12.0600004196167,,0.2953,,0.261,,,,,,0.7765,,0.4042,,0.2533,,,,,,0.8713,
ABOS,170.0,,,1.1299999952316284,,0.9329,,1.0428,,,,,,,,0.7776,,0.8288,,,,,,,
ABR,69.0,,,11.529999732971191,,0.2429,61.0,0.2735,73.0,0.6885,96.0,0.6892,95.0,0.6899,92.0,0.3544,72.0,0.3631,89.0,0.1572,27.0,0.3958,69.0,0.6345,84.0
ABSI,44.0,,,3.069999933242798,,0.5061,,0.6172,,1.1939,,1.3938,,1.5937,,1.1244,,1.0199,,0.8989,,0.9466,,0.9944,
ABT,99.0,,,130.75,,0.1474,39.0,0.2201,77.0,0.1646,28.0,0.1755,36.0,0.1864,44.0,0.2276,71.0,0.2211,81.0,0.208,46.0,0.2394,64.0,0.2707,75.0
ABUS,176.0,,,3.549999952316284,,0.3082,16.0,0.3956,15.0,0.8603,44.0,,,,,0.4657,26.0,0.4881,19.0,1.2156,74.0,,,,
ACA,63.0,,,80.06999969482422,,0.2158,26.0,0.2786,48.0,0.3349,34.0,0.4114,63.0,0.488,85.0,0.3684,61.0,0.3261,57.0,0.3684,67.0,0.3733,71.0,0.3782,72.0
ACAD,64.0,,,14.600000381469728,,0.2027,5.0,0.3455,18.0,1.2343,93.0,1.0157,84.0,0.7971,69.0,0.4562,12.0,0.4264,18.0,0.6239,46.0,0.6281,46.0,0.6323,48.0
ACB,85.0,,,4.639999866485596,,0.4906,27.0,0.6215,45.0,0.7577,31.0,0.7464,25.0,0.735,22.0,0.8409,48.0,0.6631,40.0,0.6715,23.0,0.7678,18.0,0.8641,25.0
ACCO,70.0,,,3.859999895095825,,0.4098,76.0,0.393,79.0,0.5622,86.0,,,,,0.5019,90.0,0.3942,84.0,0.5622,93.0,,,,
ACDC,56.0,,,4.150000095367432,,0.7471,,0.8111,,2.1039,,1.6197,,1.1355,,0.9273,,0.7878,,0.8364,,0.8522,,0.8679,
ACEL,183.0,,,10.300000190734863,,0.4977,85.0,0.3378,61.0,,,,,0.4036,23.0,0.3327,28.0,0.3121,38.0,,,,,0.4036,23.0
ACES,,,,22.690000534057617,,0.3155,46.0,0.2345,36.0,0.4333,71.0,0.4678,82.0,0.5023,85.0,0.3401,34.0,0.2775,51.0,0.2383,7.0,0.2887,10.0,0.3391,32.0
ACET,56.0,,,0.6621000170707703,,0.5826,69.0,0.6677,75.0,,,,,,,0.8451,80.0,0.8444,91.0,,,,,,
